product number,color,SIZE,QTY,,,
D4481A,Black,10,0,,,
D4481A,Black,12,0,,,
D4481A,Black,14,0,,,
D4481A,Black,16,0,,,
,,,,,,
D5016A,Navy,0,0,,,
D5016A,Navy,2,1,,,
D5016A,Navy,4,2,,,
D5016A,Navy,6,0,,,
D5016A,Navy,8,0,,,
D5016A,Navy,10,0,,,
D5016A,Navy,12,0,,,
D5016A,Navy,14,0,,,
D5016A,Navy,16,0,,,
,,,,,,
D5046A,Black,0,1,,,
D5046A,Black,2,4,,,
D5046A,Black,4,7,,,
D5046A,Black,6,2,,,
D5046A,Black,8,0,,,
D5046A,Black,10,0,,,
D5046A,Black,12,0,,,
D5046A,Black,14,0,,,
D5046A,Black,16,0,,,
,,,,,,
D5053A,blue,0,0,,,
D5053A,blue,2,1,,,
D5053A,blue,4,1,,,
D5053A,blue,6,2,,,
D5053A,blue,8,1,,,
D5053A,blue,10,0,,,
D5053A,blue,12,0,,,
D5053A,blue,14,0,,,
D5053A,blue,16,0,,,
,,,,,,
D5053A,Champagne,0,0,,,
D5053A,Champagne,2,2,,,
D5053A,Champagne,4,1,,,
D5053A,Champagne,6,4,,,
D5053A,Champagne,8,0,,,
D5053A,Champagne,10,0,,,
D5053A,Champagne,12,0,,,
D5053A,Champagne,14,0,,,
D5053A,Champagne,16,0,,,
,,,,,,
D5053A,Silver,0,0,,,
D5053A,Silver,2,1,,,
D5053A,Silver,4,0,,,
D5053A,Silver,6,1,,,
D5053A,Silver,8,1,,,
D5053A,Silver,10,0,,,
D5053A,Silver,12,0,,,
D5053A,Silver,14,0,,,
D5053A,Silver,16,0,,,
,,,,,,
D5064A,Green,0,0,,,
D5064A,Green,2,0,,,
D5064A,Green,4,1,,,
D5064A,Green,6,0,,,
D5064A,Green,8,0,,,
D5064A,Green,10,0,,,
D5064A,Green,12,0,,,
D5064A,Green,14,0,,,
D5064A,Green,16,0,,,
,,,,,,
D5068A,Orange,0,0,,,
D5068A,Orange,2,2,,,
D5068A,Orange,4,2,,,
D5068A,Orange,6,3,,,
D5068A,Orange,8,0,,,
D5068A,Orange,10,0,,,
D5068A,Orange,12,0,,,
D5068A,Orange,14,0,,,
D5068A,Orange,16,0,,,
,,,,,,
D5070A,White,0,0,,,
D5070A,White,2,2,,,
D5070A,White,4,7,,,
D5070A,White,6,8,,,
D5070A,White,8,1,,,
D5070A,White,10,0,,,
D5070A,White,12,0,,,
D5070A,White,14,0,,,
D5070A,White,16,0,,,
,,,,,,
D5071A,Green,0,0,,,
D5071A,Green,2,1,,,
D5071A,Green,4,0,,,
D5071A,Green,6,0,,,
D5071A,Green,8,0,,,
D5071A,Green,10,0,,,
D5071A,Green,12,0,,,
D5071A,Green,14,0,,,
D5071A,Green,16,0,,,
,,,,,,
D5072A,White,0,0,,,
D5072A,White,2,0,,,
D5072A,White,4,1,,,
D5072A,White,6,0,,,
D5072A,White,8,0,,,
D5072A,White,10,0,,,
D5072A,White,12,0,,,
D5072A,White,14,0,,,
D5072A,White,16,0,,,
,,,,,,
D5073A,Blue,0,0,,,
D5073A,Blue,2,0,,,
D5073A,Blue,4,0,,,
D5073A,Blue,6,0,,,
D5073A,Blue,8,2,,,
D5073A,Blue,10,0,,,
D5073A,Blue,12,0,,,
D5073A,Blue,14,0,,,
D5073A,Blue,16,0,,,
,,,,,,
D5073A,Purple,0,0,,,
D5073A,Purple,2,4,,,
D5073A,Purple,4,4,,,
D5073A,Purple,6,3,,,
D5073A,Purple,8,0,,,
D5073A,Purple,10,0,,,
D5073A,Purple,12,0,,,
D5073A,Purple,14,1,,,
D5073A,Purple,16,0,,,
,,,,,,
D5076A,Blue,0,0,,,
D5076A,Blue,2,1,,,
D5076A,Blue,4,1,,,
D5076A,Blue,6,4,,,
D5076A,Blue,8,1,,,
D5076A,Blue,10,2,,,
D5076A,Blue,12,1,,,
D5076A,Blue,14,0,,,
D5076A,Blue,16,0,,,
,,,,,,
D5076A,Red,0,7,,,
D5076A,Red,2,15,,,
D5076A,Red,4,7,,,
D5076A,Red,6,5,,,
D5076A,Red,8,0,,,
D5076A,Red,10,0,,,
D5076A,Red,12,0,,,
D5076A,Red,14,0,,,
D5076A,Red,16,0,,,
,,,,,,
D5082A,Black,0,0,,,
D5082A,Black,2,0,,,
D5082A,Black,4,0,,,
D5082A,Black,6,0,,,
D5082A,Black,8,0,,,
D5082A,Black,10,2,,,
D5082A,Black,12,0,,,
D5082A,Black,14,0,,,
D5082A,Black,16,0,,,
,,,,,,
D5088A,Blue,0,0,,,
D5088A,Blue,2,0,,,
D5088A,Blue,4,3,,,
D5088A,Blue,6,1,,,
D5088A,Blue,8,6,,,
D5088A,Blue,10,0,,,
D5088A,Blue,12,0,,,
D5088A,Blue,14,0,,,
D5088A,Blue,16,0,,,
,,,,,,
D5089A,Pink,0,0,,,
D5089A,Pink,2,0,,,
D5089A,Pink,4,0,,,
D5089A,Pink,6,0,,,
D5089A,Pink,8,1,,,
D5089A,Pink,10,1,,,
D5089A,Pink,12,1,,,
D5089A,Pink,14,0,,,
D5089A,Pink,16,0,,,
,,,,,,
D5091A,Green,0,0,,,
D5091A,Green,2,3,,,
D5091A,Green,4,7,,,
D5091A,Green,6,9,,,
D5091A,Green,8,3,,,
D5091A,Green,10,4,,,
D5091A,Green,12,0,,,
